sector,symbol_a,security_a,symbol_b,security_b,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Health Care,DHR,Danaher Corporation,SYK,Stryker Corporation,1255,0.7808688603919268,2.7046184179794105e-258,-0.09542931099347876,-0.10865738267923772,-0.0822012393077198,0.9089826144606222
Health Care,BDX,Becton Dickinson,REGN,Regeneron Pharmaceuticals,1255,0.7804562730350311,7.605038440249505e-258,0.33213580596450254,0.3123913628004044,0.35188024912860066,1.3939421413156419
Health Care,AMGN,Amgen,MCK,McKesson Corporation,1255,0.7804264559123589,8.194299996801377e-258,0.05626437460519715,0.03819576635918946,0.07433298285120483,1.057877322669794
Health Care,MCK,McKesson Corporation,MDT,Medtronic,1255,0.7802504850608929,1.2725767201418318e-257,-0.08600246270936492,-0.10343813434741511,-0.06856679107131472,0.9175919714550271
Health Care,LH,Labcorp,PFE,Pfizer,1129,0.8045879802128704,2.45571880309375e-257,0.3150231460164148,0.2850462448060096,0.34500004722682,1.3702910273685533
Health Care,STE,Steris,TMO,Thermo Fisher Scientific,1255,0.7790788056227393,2.3608956969111124e-256,0.1920085489820266,0.17841242515350927,0.20560467281054393,1.21168087555865
Health Care,DHR,Danaher Corporation,STE,Steris,1255,0.7779632651070575,3.745197806474295e-255,-0.04744319363006516,-0.06126488671186635,-0.033621500548263974,0.9536646458205992
Health Care,AMGN,Amgen,MDT,Medtronic,1255,0.7779260348684115,4.105975929832358e-255,-0.0297380881041678,-0.051937043776031644,-0.00753913243230395,0.9706997380661422
Health Care,BAX,Baxter International,SOLV,Solventum,253,0.9951556893553073,7.038242253090594e-255,-0.7825990536045494,-0.846272785088625,-0.7189253221204738,0.45721613645326326
Health Care,COO,Cooper Companies (The),HSIC,Henry Schein,1255,0.7767851187501882,6.818203248067678e-254,-0.05660984883326608,-0.11444820235051031,0.001228504683978164,0.9449626757462055
Health Care,ABBV,AbbVie,CVS,CVS Health,1255,0.7719607637667759,8.213781641746871e-249,0.6784977739996474,0.6248652401303812,0.7321303078689135,1.970914747872854
Health Care,DXCM,Dexcom,ZTS,Zoetis,1255,0.7712918920007994,4.065287151145432e-248,0.9992635250474714,0.9686277750629009,1.029899275032042,2.71628061898925
Health Care,ABBV,AbbVie,DXCM,Dexcom,1255,-0.7705393839107669,2.441512976301047e-247,-1.0723358877641538,-1.1893335996347363,-0.9553381758935713,0.3422082230826334
Health Care,BDX,Becton Dickinson,HSIC,Henry Schein,1255,0.7702248342565491,5.1548842166750336e-247,0.10505526138870858,0.08412206632654208,0.12598845645087509,1.1107719914624739
Health Care,MDT,Medtronic,STE,Steris,1255,0.763689195664469,2.1907522244383196e-240,-0.49094140039432027,-0.5044157668310827,-0.4774670339575578,0.6120499388355791
Health Care,HSIC,Henry Schein,STE,Steris,1255,0.7604878981268466,3.2306554021961256e-237,-0.47195208162516405,-0.4852845995835442,-0.4586195636667839,0.6237834028885231
Health Care,BMY,Bristol Myers Squibb,VRTX,Vertex Pharmaceuticals,943,0.8243683186382574,8.665195309516351e-235,-0.8471986922439232,-0.8649698835089963,-0.8294275009788501,0.4286139313116871
Health Care,CI,Cigna,HSIC,Henry Schein,1255,0.7561495175413908,5.305563250696912e-233,-0.3337387365446966,-0.3510409076881858,-0.3164365654012074,0.7162408853530765
Health Care,BSX,Boston Scientific,MCK,McKesson Corporation,1255,0.7536556539856839,1.2823209177032361e-230,0.7859719262983117,0.7627158322992995,0.8092280202973239,2.194538834549525
Health Care,BDX,Becton Dickinson,LLY,Lilly (Eli),1255,0.7533377566754027,2.568863338254079e-230,-0.8600899602952398,-0.8836854280999495,-0.83649449249053,0.42312401624413254
Health Care,COO,Cooper Companies (The),DHR,Danaher Corporation,1255,0.7527918981488505,8.448682976727187e-230,-0.481118736828365,-0.5323266527297232,-0.4299108209270068,0.6180915231185976
Health Care,ABBV,AbbVie,DGX,Quest Diagnostics,1255,0.7524234250777796,1.8838610308771197e-229,0.610262842477653,0.5530118249148703,0.6675138600404356,1.8409152059101903
Health Care,BSX,Boston Scientific,STE,Steris,1255,0.7515507343665219,1.2514636432636319e-228,0.20902806319462666,0.18780826480146864,0.23024786158778468,1.2324795853594215
Health Care,CI,Cigna,LLY,Lilly (Eli),1255,0.7475666582987089,6.436023654854355e-225,-1.298883958228645,-1.3198141728367723,-1.277953743620518,0.27283611968810206
Health Care,BIIB,Biogen,TMO,Thermo Fisher Scientific,1255,0.7467488803941571,3.6454967614369595e-224,-0.5197911842061964,-0.5369286986701638,-0.502653669742229,0.5946447062130011
Health Care,IDXX,Idexx Laboratories,RMD,ResMed,1255,0.7465384784880416,5.689300371098372e-224,0.4998597281847818,0.48759024573632215,0.5121292106332415,1.64849001779421
Health Care,BIIB,Biogen,LLY,Lilly (Eli),1255,0.746034679490134,1.6486781770549262e-223,-1.2049928732470074,-1.231278299216288,-1.1787074472777268,0.2996941353517115
Health Care,GEHC,GE HealthCare,UHS,Universal Health Services,705,0.8731872668667637,1.2913556159132302e-221,0.5310084131912391,0.5158790207781695,0.5461378056043088,1.700646398479743
Health Care,BSX,Boston Scientific,MDT,Medtronic,1255,0.7432391531637775,5.7730441065272375e-221,0.699969463588947,0.6767625730820572,0.7231763540958367,2.013691215628917
Health Care,GEHC,GE HealthCare,LLY,Lilly (Eli),705,0.8721074388341812,2.0793475202627588e-220,-1.2789186339649188,-1.3053539519268662,-1.2524833160029714,0.27833812316680845
Health Care,BAX,Baxter International,JNJ,Johnson & Johnson,924,0.8141244813832514,7.336418663722948e-220,0.0803354183498781,0.034171345643525516,0.1264994910562307,1.0836504829803162
Health Care,COO,Cooper Companies (The),VRTX,Vertex Pharmaceuticals,1006,0.7922188314541957,1.3882539121520962e-217,-0.38124551298867543,-0.446269397164335,-0.31622162881301585,0.6830101811625668
Health Care,GEHC,GE HealthCare,REGN,Regeneron Pharmaceuticals,705,0.8694925333260146,1.5687914775704972e-217,-0.026498516556164645,-0.03858195689343406,-0.014415076218895229,0.9738494884854838
Health Care,HSIC,Henry Schein,VRTX,Vertex Pharmaceuticals,1006,0.7896918456109472,2.962795759829636e-215,-0.1935688453235933,-0.20513942076158295,-0.18199826988560366,0.8240131047934428
Health Care,RMD,ResMed,VRTX,Vertex Pharmaceuticals,1006,-0.7896292696638526,3.380435949701158e-215,0.28988162875126855,0.2540263385476674,0.3257369189548697,1.3362693027973518
Health Care,ABBV,AbbVie,VTRS,Viatris,734,0.859107495556829,3.923683983448854e-215,1.1274656731868984,1.0539027829273735,1.2010285634464233,3.087821027869821
Health Care,BSX,Boston Scientific,DHR,Danaher Corporation,1255,0.734332694004962,4.476848721951182e-213,0.2564712568246918,0.23390071545849594,0.27904179819088765,1.2923616186892517
Health Care,DXCM,Dexcom,SYK,Stryker Corporation,1255,-0.7337449990302949,1.4465482794116739e-212,0.8675271335200234,0.808478118060817,0.9265761489792298,2.3810156337337496
Health Care,DHR,Danaher Corporation,TECH,Bio-Techne,1255,0.7330467479932448,5.804308070375701e-212,-0.667202716773587,-0.6835590371924207,-0.6508463963547533,0.513141975482993
Health Care,BSX,Boston Scientific,EW,Edwards Lifesciences,1255,-0.7317491608291178,7.5866839013791586e-211,0.299688253088083,0.23177875078542054,0.36759775539074546,1.3494380588481831
Health Care,DGX,Quest Diagnostics,HSIC,Henry Schein,1255,0.7305227127338747,8.494944579411706e-210,-0.2951333977332056,-0.3127675294564184,-0.27749926600999286,0.744432275264
Health Care,BDX,Becton Dickinson,BIIB,Biogen,1255,0.7301979132442358,1.6070397757173306e-209,0.3449029129517676,0.3204264893734448,0.3693793365300904,1.4118528403886437
Health Care,DXCM,Dexcom,HSIC,Henry Schein,1255,-0.7290306155514227,1.5766289221546028e-208,1.3874653325086013,1.3329523302324002,1.4419783347848023,4.004686628973546
Health Care,DHR,Danaher Corporation,DXCM,Dexcom,1255,-0.7280875856956168,9.888300601514895e-208,-0.9629564445135023,-1.0252527955916677,-0.9006600934353369,0.381762556105193
Health Care,BMY,Bristol Myers Squibb,MDT,Medtronic,1005,0.7807607468781816,4.5458680757260646e-207,-0.5945895544333122,-0.6137217050402233,-0.5754574038264011,0.5517889987437473
Health Care,LLY,Lilly (Eli),STE,Steris,1255,0.7272817374551687,4.719112242390861e-207,0.4931931400587843,0.4678436910568454,0.5185425890607231,1.637536764795566
Health Care,HSIC,Henry Schein,TMO,Thermo Fisher Scientific,1255,0.7271720552698286,5.8351680073275284e-207,-0.27994353264313754,-0.28982822903932975,-0.2700588362469453,0.7558264197709196
Health Care,ABBV,AbbVie,ZTS,Zoetis,1255,-0.7262233774730089,3.6440570332375536e-206,-0.07307236271668231,-0.1645350725864071,0.018390347153042455,0.9295335640181068
Health Care,CNC,Centene Corporation,EW,Edwards Lifesciences,1050,0.7688952267736541,8.65526716445294e-206,-0.8154785167306235,-0.8489058828681757,-0.7820511505930714,0.4424275677068862
Health Care,BDX,Becton Dickinson,VRTX,Vertex Pharmaceuticals,1006,0.7783045431587571,3.8240759082170983e-205,-0.1125980115249263,-0.13551417706337845,-0.08968184598647413,0.893509768561779
Health Care,DGX,Quest Diagnostics,ZTS,Zoetis,1255,-0.7243297351616624,1.3789373373053737e-204,-0.6833352051943352,-0.7244713210018043,-0.6421990893868661,0.5049301353119762
Health Care,DXCM,Dexcom,LH,Labcorp,1255,-0.7241982572959171,1.7726108098458223e-204,1.526003952038116,1.439668233667587,1.6123396704086448,4.599759189601549
Health Care,AMGN,Amgen,RVTY,Revvity,705,0.8545688201340077,3.219978208275449e-202,-0.44111070594159346,-0.469789615838256,-0.4124317960449309,0.6433214831200631
Health Care,TMO,Thermo Fisher Scientific,VRTX,Vertex Pharmaceuticals,1006,0.7741101116260674,1.4332099398938337e-201,0.11441223105344489,0.10324876108211749,0.1255757010247723,1.1212142289535243
Health Care,DHR,Danaher Corporation,TMO,Thermo Fisher Scientific,1255,0.7198542977316627,6.559764296948682e-201,0.14456535535196144,0.1284678871150574,0.16066282358886547,1.1555372130372332
Health Care,COO,Cooper Companies (The),REGN,Regeneron Pharmaceuticals,1255,0.7196917107119709,8.894600928604665e-201,0.1704706957425279,0.11486604489486846,0.22607534659018735,1.185862900592885
Health Care,AMGN,Amgen,COO,Cooper Companies (The),1255,0.7191009255325491,2.684383024756738e-200,0.007882441959942045,-0.035541668412027085,0.05130655233191118,1.0079135901931608
Health Care,DGX,Quest Diagnostics,DHR,Danaher Corporation,1255,0.7161669616024294,6.2089954623782524e-198,-0.7196422857283046,-0.738777593903443,-0.7005069775531662,0.4869264053347098
Health Care,LH,Labcorp,SYK,Stryker Corporation,1255,0.7159618575266425,9.060866230793495e-198,-0.6584768185180925,-0.6924141424978014,-0.6245394945383835,0.5176391927465236
Health Care,BDX,Becton Dickinson,PODD,Insulet Corporation,1255,-0.7153534090145668,2.7750136079406835e-197,-1.7980498203023056,-1.9032477437502977,-1.6928518968543136,0.16562156529431865
Health Care,LLY,Lilly (Eli),UHS,Universal Health Services,1255,0.7146841555986719,9.472473502589854e-197,1.5435579834755344,1.5165303548033595,1.5705856121477093,4.68121636623904
Health Care,AMGN,Amgen,BSX,Boston Scientific,1255,0.714486547651153,1.360205157802551e-196,-0.7297075516931146,-0.7538983722104314,-0.7055167311757978,0.48204994416831326
