symbol_a,symbol_b,n_days,pearson_r,adf_t,half_life,exc_ge_1_5,revert_rate,mean_log_rel_pe,spread_sd,score,security_a,security_b,corr_z,adf_z,hl_z,exc_z,rev_z
ABT,TMO,1255,0.6855955544110188,-3.165446118968347,43.14065025095306,3,0.6666666666666666,-0.1993394288432136,0.2042752741221245,-0.2506901512442008,Abbott Laboratories,Thermo Fisher Scientific,-1.0112553604286847,0.6998746567749137,1.1605934494785228,-0.6744907594765952,-2.532272832835391
DHR,SYK,1255,0.7808688603919267,-2.435112564027935,75.01445180898412,4,1.0,-0.09542931099347876,0.18165185429645533,-0.28584891823693875,Danaher Corporation,Stryker Corporation,-0.020307441891340667,-0.6371577825000427,-0.6023362002226292,0.0,0.0
LH,PFE,1129,0.8045879802128705,-2.472162054105654,76.66604695333366,3,1.0,0.3150231460164148,0.3903742795108507,-0.31243289676695035,Labcorp,Pfizer,0.22639767843703557,-0.5693307331232034,-0.6842295154788546,-0.6744907594765952,0.0
REGN,TMO,1255,0.8531567540732253,-2.2400892671814816,86.48714354279728,3,1.0,-0.5070240772189314,0.22005585385049478,-0.35774891890347604,Regeneron Pharmaceuticals,Thermo Fisher Scientific,0.7315667272834601,-0.9941898160608349,-1.1374893457590802,-0.6744907594765952,0.0
BDX,MCK,1255,0.7011167377260509,-2.7085307971287516,55.27409826544845,4,0.75,0.2100470428672297,0.24899128912214424,-0.36982083390983533,Becton Dickinson,McKesson Corporation,-0.8498178607963139,-0.1366069798262424,0.5459836587413689,0.0,-1.899204624626543
DHR,STE,1255,0.777963265107057,-2.43189237317987,67.65973348002508,4,0.75,-0.04744319363006516,0.18980364163951996,-0.4087039904042294,Danaher Corporation,Steris,-0.0505288514457704,-0.6430530335060994,-0.2143080706565954,0.0,-1.899204624626543
ISRG,STE,1255,0.7075110503903639,-2.50285240257223,64.38894753019615,5,0.8,0.677369221636836,0.19647981236925025,-0.41963929549171497,Intuitive Surgical,Steris,-0.7833099259667224,-0.5131454583335049,-0.027985985348439695,0.6744907594765952,-1.519363699701234
AMGN,MCK,1255,0.7804264559123587,-2.365303147471669,79.34495906857416,3,1.0,0.05626437460519715,0.24812355651028548,-0.4625624591654089,Amgen,McKesson Corporation,-0.0249089385400175,-0.7649589137382227,-0.8133821762367934,-0.6744907594765952,0.0
AMGN,MDT,1255,0.7779260348684112,-2.500408736675355,85.42799386678537,3,1.0,-0.0297380881041678,0.3048427281793583,-0.46408415195548103,Amgen,Medtronic,-0.050916087168441516,-0.5176191136280892,-1.0911546673821848,-0.6744907594765952,0.0
A,MTD,1255,0.6899998067784314,-2.3565152709704438,76.46774962943483,5,1.0,-0.2058612158685139,0.13040794104691125,-0.5186201674112042,Agilent Technologies,Mettler Toledo,-0.9654462571204057,-0.781047009205011,-0.6744907594765952,0.6744907594765952,0.0
BDX,MDT,1255,0.7122346849209541,-2.7831502740206324,66.95780013984536,3,0.6666666666666666,0.12404458015786478,0.28757126036887387,-0.6096731183003274,Becton Dickinson,Medtronic,-0.7341788943747515,0.0,-0.1750927639143679,-0.6744907594765952,-2.532272832835391
DGX,SYK,1255,0.8517590068712387,-2.271715174716649,91.04082451493403,3,0.6666666666666666,-0.8150715967217833,0.1808531672492272,-0.6394534669811627,Quest Diagnostics,Stryker Corporation,0.7170286080674901,-0.9362917994491249,-1.3304410116705008,-0.6744907594765952,-2.532272832835391
HSIC,SYK,1255,0.6889680108920805,-2.4199539126612555,73.05865344750059,3,1.0,-0.5199381989885776,0.17121357806353346,-0.6608532202063199,Henry Schein,Stryker Corporation,-0.9761780772814459,-0.6649089497246735,-0.5029947283461422,-0.6744907594765952,0.0
CNC,ELV,1050,0.7483557844602385,-2.3544474125232435,64.3856393839002,3,0.6666666666666666,-0.24441771327027959,0.16916780792272768,-0.663711455012433,Centene Corporation,Elevance Health,-0.35847944703000384,-0.7848326682439978,-0.027792783187019967,-0.6744907594765952,-2.532272832835391
IDXX,RMD,1255,0.7465384784880418,-2.236727830284182,78.91667618650429,4,0.75,0.4998597281847818,0.1684882189155324,-0.7118267817805999,Idexx Laboratories,ResMed,-0.3773814422106344,-1.000343648297986,-0.793029872901294,0.0,-1.899204624626543
ALGN,IDXX,1255,0.6609847643237191,-2.4147199953879555,74.36380149819335,3,1.0,-0.3153325901086269,0.2434936602892392,-0.7638823492730169,Align Technology,Idexx Laboratories,-1.2672348392499229,-0.6744907594765951,-0.5695779685370099,-0.6744907594765952,0.0
MDT,TECH,1255,0.658221884800364,-2.391036637363261,68.90384624805094,3,0.6666666666666666,-1.110700923537842,0.25232347656335374,-0.9792193965153451,Medtronic,Bio-Techne,-1.2959718467952137,-0.7178482332442668,-0.2828244348034296,-0.6744907594765952,-2.532272832835391
